Date,Month,Quarter,City,Total_Deliveries,OnTime_Deliveries,Late_Deliveries,OnTime_Rate_Pct,Avg_Delivery_Time_Min,Avg_Rider_Rating
2024-01-10,Jan,Q1,Mumbai,392,337,54,86.1,22.9,4.06
2024-01-10,Jan,Q1,Delhi,143,137,5,96.1,18.8,4.0
2024-01-10,Jan,Q1,Bangalore,530,458,71,86.6,11.5,4.66
2024-01-10,Jan,Q1,Hyderabad,560,497,62,88.8,30.7,4.85
2024-01-10,Jan,Q1,Chennai,430,406,23,94.5,24.5,4.04
2024-01-10,Jan,Q1,Pune,118,108,9,92.0,27.7,4.22
2024-01-10,Jan,Q1,Kolkata,200,167,32,83.9,28.9,4.41
2024-01-10,Jan,Q1,Ahmedabad,219,180,38,82.4,12.1,4.85
2024-01-10,Jan,Q1,Jaipur,547,478,68,87.5,33.5,4.14
2024-01-10,Jan,Q1,Lucknow,223,210,12,94.3,35.4,4.92
2024-01-11,Jan,Q1,Mumbai,151,131,19,87.2,38.1,4.21
2024-01-11,Jan,Q1,Delhi,343,317,25,92.5,31.2,4.92
2024-01-11,Jan,Q1,Bangalore,458,396,61,86.6,18.0,3.89
2024-01-11,Jan,Q1,Hyderabad,431,355,75,82.4,32.9,4.18
2024-01-11,Jan,Q1,Chennai,285,232,52,81.5,9.5,4.14
2024-01-11,Jan,Q1,Pune,165,134,30,81.7,9.6,4.59
2024-01-11,Jan,Q1,Kolkata,576,457,118,79.5,11.3,4.34
2024-01-11,Jan,Q1,Ahmedabad,416,326,89,78.6,41.2,4.48
2024-01-11,Jan,Q1,Jaipur,538,514,23,95.7,25.5,3.85
2024-01-11,Jan,Q1,Lucknow,527,496,30,94.3,25.9,4.92
2024-01-12,Jan,Q1,Mumbai,464,436,27,94.1,25.2,3.94
2024-01-12,Jan,Q1,Delhi,364,297,66,81.7,39.6,3.84
2024-01-12,Jan,Q1,Bangalore,239,206,32,86.4,12.8,4.61
2024-01-12,Jan,Q1,Hyderabad,467,418,48,89.6,15.3,4.28
2024-01-12,Jan,Q1,Chennai,274,248,25,90.7,30.8,4.21
2024-01-12,Jan,Q1,Pune,229,212,16,92.9,33.0,4.67
2024-01-12,Jan,Q1,Kolkata,340,308,31,90.8,38.9,4.0
2024-01-12,Jan,Q1,Ahmedabad,534,475,58,89.1,15.8,4.82
2024-01-12,Jan,Q1,Jaipur,517,459,57,88.9,10.9,4.98
2024-01-12,Jan,Q1,Lucknow,194,154,39,79.5,22.2,3.83
2024-01-13,Jan,Q1,Mumbai,153,132,20,86.7,18.9,4.01
2024-01-13,Jan,Q1,Delhi,302,270,31,89.6,34.4,4.89
2024-01-13,Jan,Q1,Bangalore,477,416,60,87.4,12.7,4.94
2024-01-13,Jan,Q1,Hyderabad,328,265,62,80.8,27.3,4.11
2024-01-13,Jan,Q1,Chennai,458,436,21,95.4,21.3,4.19
2024-01-13,Jan,Q1,Pune,584,468,115,80.2,15.2,4.25
2024-01-13,Jan,Q1,Kolkata,108,85,22,79.2,31.3,4.45
2024-01-13,Jan,Q1,Ahmedabad,301,279,21,92.9,32.5,4.0
2024-01-13,Jan,Q1,Jaipur,463,395,67,85.4,14.5,4.04
2024-01-13,Jan,Q1,Lucknow,310,263,46,84.9,37.3,4.58
2024-01-14,Jan,Q1,Mumbai,176,167,8,95.2,28.2,4.17
2024-01-14,Jan,Q1,Delhi,563,528,34,93.9,41.3,4.78
2024-01-14,Jan,Q1,Bangalore,574,472,101,82.3,29.7,3.82
2024-01-14,Jan,Q1,Hyderabad,327,283,43,86.6,21.7,4.47
2024-01-14,Jan,Q1,Chennai,378,343,34,90.9,35.2,4.91
2024-01-14,Jan,Q1,Pune,434,359,74,82.9,19.2,4.34
2024-01-14,Jan,Q1,Kolkata,300,250,49,83.5,13.8,4.79
2024-01-14,Jan,Q1,Ahmedabad,142,128,13,90.2,24.7,4.28
2024-01-14,Jan,Q1,Jaipur,488,392,95,80.5,34.0,4.29
2024-01-14,Jan,Q1,Lucknow,404,380,23,94.3,13.4,3.92
2024-01-15,Jan,Q1,Mumbai,443,346,96,78.3,38.4,4.71
2024-01-15,Jan,Q1,Delhi,406,335,70,82.7,34.9,4.63
2024-01-15,Jan,Q1,Bangalore,208,171,36,82.5,27.3,4.27
2024-01-15,Jan,Q1,Hyderabad,531,451,79,85.0,38.9,4.35
2024-01-15,Jan,Q1,Chennai,328,311,16,95.0,39.7,4.03
2024-01-15,Jan,Q1,Pune,148,133,14,90.3,17.3,3.95
2024-01-15,Jan,Q1,Kolkata,546,444,101,81.5,39.1,3.88
2024-01-15,Jan,Q1,Ahmedabad,546,438,107,80.4,25.0,4.92
2024-01-15,Jan,Q1,Jaipur,239,202,36,84.9,27.6,4.43
2024-01-15,Jan,Q1,Lucknow,515,445,69,86.5,27.5,3.93
2024-01-16,Jan,Q1,Mumbai,109,102,6,94.3,40.9,4.01
2024-01-16,Jan,Q1,Delhi,374,325,48,87.0,36.0,4.04
2024-01-16,Jan,Q1,Bangalore,574,486,87,84.7,29.4,4.59
2024-01-16,Jan,Q1,Hyderabad,174,149,24,85.9,10.1,4.86
2024-01-16,Jan,Q1,Chennai,430,339,90,78.9,37.0,4.9
2024-01-16,Jan,Q1,Pune,596,484,111,81.3,33.7,4.58
2024-01-16,Jan,Q1,Kolkata,464,444,19,95.8,34.5,3.99
2024-01-16,Jan,Q1,Ahmedabad,477,372,104,78.0,27.6,4.26
2024-01-16,Jan,Q1,Jaipur,557,472,84,84.8,29.9,4.21
2024-01-16,Jan,Q1,Lucknow,340,286,53,84.2,16.7,4.87
2024-01-17,Jan,Q1,Mumbai,339,323,15,95.3,38.2,4.0
2024-01-17,Jan,Q1,Delhi,206,165,40,80.5,20.6,3.92
2024-01-17,Jan,Q1,Bangalore,584,561,22,96.1,32.3,4.15
2024-01-17,Jan,Q1,Hyderabad,553,512,40,92.7,25.7,4.21
2024-01-17,Jan,Q1,Chennai,156,142,13,91.6,41.7,4.59
2024-01-17,Jan,Q1,Pune,212,173,38,81.7,36.9,4.04
2024-01-17,Jan,Q1,Kolkata,125,116,8,93.0,13.0,4.12
2024-01-17,Jan,Q1,Ahmedabad,152,139,12,92.0,17.5,4.37
2024-01-17,Jan,Q1,Jaipur,567,501,65,88.5,38.7,4.73
2024-01-17,Jan,Q1,Lucknow,540,460,79,85.2,38.4,4.81
2024-01-18,Jan,Q1,Mumbai,558,468,89,84.0,34.7,4.14
2024-01-18,Jan,Q1,Delhi,427,365,61,85.6,21.5,4.96
2024-01-18,Jan,Q1,Bangalore,497,460,36,92.7,12.9,4.18
2024-01-18,Jan,Q1,Hyderabad,535,433,101,81.1,15.3,4.34
2024-01-18,Jan,Q1,Chennai,194,174,19,89.7,29.7,3.88
2024-01-18,Jan,Q1,Pune,291,265,25,91.2,27.8,4.98
2024-01-18,Jan,Q1,Kolkata,372,332,39,89.4,20.3,4.64
2024-01-18,Jan,Q1,Ahmedabad,510,492,17,96.5,22.4,4.22
2024-01-18,Jan,Q1,Jaipur,433,408,24,94.3,26.6,4.94
2024-01-18,Jan,Q1,Lucknow,228,184,43,81.1,16.4,3.81
2024-01-19,Jan,Q1,Mumbai,308,271,36,88.1,13.4,4.24
2024-01-19,Jan,Q1,Delhi,466,432,33,92.9,24.0,4.91
2024-01-19,Jan,Q1,Bangalore,561,477,83,85.1,35.1,4.78
2024-01-19,Jan,Q1,Hyderabad,279,265,13,95.2,33.7,4.31
2024-01-19,Jan,Q1,Chennai,581,490,90,84.5,9.9,4.35
2024-01-19,Jan,Q1,Pune,189,164,24,87.2,30.2,4.06
2024-01-19,Jan,Q1,Kolkata,160,130,29,81.7,22.6,4.41
2024-01-19,Jan,Q1,Ahmedabad,500,410,90,82.0,39.3,4.63
2024-01-19,Jan,Q1,Jaipur,339,323,15,95.4,20.2,4.43
2024-01-19,Jan,Q1,Lucknow,425,393,31,92.6,36.1,3.95
2024-01-20,Jan,Q1,Mumbai,131,111,19,85.4,27.2,4.89
2024-01-20,Jan,Q1,Delhi,434,347,86,80.1,38.3,4.1
2024-01-20,Jan,Q1,Bangalore,403,340,62,84.4,34.9,4.47
2024-01-20,Jan,Q1,Hyderabad,559,503,55,90.0,34.2,4.78
2024-01-20,Jan,Q1,Chennai,433,418,14,96.6,36.8,3.81
2024-01-20,Jan,Q1,Pune,494,417,76,84.5,10.6,4.45
2024-01-20,Jan,Q1,Kolkata,113,95,17,84.8,39.3,3.83
2024-01-20,Jan,Q1,Ahmedabad,141,114,26,81.0,30.6,4.34
2024-01-20,Jan,Q1,Jaipur,533,438,94,82.2,35.6,4.31
2024-01-20,Jan,Q1,Lucknow,396,382,13,96.5,18.0,4.42
2024-01-21,Jan,Q1,Mumbai,113,92,20,82.0,40.0,4.19
2024-01-21,Jan,Q1,Delhi,132,104,27,78.8,12.5,4.24
2024-01-21,Jan,Q1,Bangalore,312,256,55,82.3,18.5,4.76
2024-01-21,Jan,Q1,Hyderabad,239,206,32,86.2,37.4,4.94
2024-01-21,Jan,Q1,Chennai,582,551,30,94.8,19.2,4.46
2024-01-21,Jan,Q1,Pune,515,412,102,80.0,17.3,4.07
2024-01-21,Jan,Q1,Kolkata,408,356,51,87.3,24.4,4.79
2024-01-21,Jan,Q1,Ahmedabad,246,223,22,90.7,18.6,4.17
2024-01-21,Jan,Q1,Jaipur,443,404,38,91.4,13.0,4.06
2024-01-21,Jan,Q1,Lucknow,372,326,45,87.9,15.6,4.5
2024-01-22,Jan,Q1,Mumbai,238,224,13,94.3,15.6,3.84
2024-01-22,Jan,Q1,Delhi,587,544,42,92.8,39.4,4.49
2024-01-22,Jan,Q1,Bangalore,502,476,25,94.9,23.2,4.58
2024-01-22,Jan,Q1,Hyderabad,262,211,50,80.9,11.0,4.57
2024-01-22,Jan,Q1,Chennai,564,490,73,87.0,11.0,3.83
2024-01-22,Jan,Q1,Pune,275,235,39,85.5,22.8,4.24
2024-01-22,Jan,Q1,Kolkata,366,289,76,79.1,18.8,4.68
2024-01-22,Jan,Q1,Ahmedabad,594,472,121,79.6,36.8,4.0
2024-01-22,Jan,Q1,Jaipur,474,434,39,91.7,40.9,4.93
2024-01-22,Jan,Q1,Lucknow,513,450,62,87.9,20.5,3.94
2024-01-23,Jan,Q1,Mumbai,518,439,78,84.8,38.3,3.9
2024-01-23,Jan,Q1,Delhi,235,211,23,89.8,32.1,3.84
2024-01-23,Jan,Q1,Bangalore,533,445,87,83.5,36.7,4.81
2024-01-23,Jan,Q1,Hyderabad,248,201,46,81.2,29.1,4.01
2024-01-23,Jan,Q1,Chennai,341,308,32,90.4,27.9,4.32
2024-01-23,Jan,Q1,Pune,504,434,69,86.3,13.0,3.88
2024-01-23,Jan,Q1,Kolkata,367,314,52,85.7,35.8,4.21
2024-01-23,Jan,Q1,Ahmedabad,299,243,55,81.4,26.3,3.89
2024-01-23,Jan,Q1,Jaipur,445,351,93,79.1,31.9,4.4
2024-01-23,Jan,Q1,Lucknow,432,395,36,91.5,11.2,3.93
2024-01-24,Jan,Q1,Mumbai,224,202,21,90.5,19.8,3.96
2024-01-24,Jan,Q1,Delhi,252,221,30,87.9,20.6,3.91
2024-01-24,Jan,Q1,Bangalore,507,487,19,96.1,14.7,4.89
2024-01-24,Jan,Q1,Hyderabad,414,327,86,79.2,34.7,4.71
2024-01-24,Jan,Q1,Chennai,423,363,59,85.9,34.6,4.2
2024-01-24,Jan,Q1,Pune,549,447,101,81.5,41.9,4.49
2024-01-24,Jan,Q1,Kolkata,307,289,17,94.2,27.9,4.96
2024-01-24,Jan,Q1,Ahmedabad,120,110,9,91.9,10.3,4.58
2024-01-24,Jan,Q1,Jaipur,372,327,44,88.1,32.1,4.38
2024-01-24,Jan,Q1,Lucknow,318,275,42,86.7,21.4,4.9
2024-01-25,Jan,Q1,Mumbai,468,366,101,78.4,31.6,3.99
2024-01-25,Jan,Q1,Delhi,576,545,30,94.7,41.7,4.89
2024-01-25,Jan,Q1,Bangalore,104,84,19,81.7,9.8,4.05
2024-01-25,Jan,Q1,Hyderabad,456,363,92,79.8,22.0,4.12
2024-01-25,Jan,Q1,Chennai,312,283,28,90.8,22.3,3.83
2024-01-25,Jan,Q1,Pune,152,145,6,95.8,15.7,3.83
2024-01-25,Jan,Q1,Kolkata,299,281,17,94.3,34.8,4.58
2024-01-25,Jan,Q1,Ahmedabad,567,521,45,92.0,20.2,3.86
2024-01-25,Jan,Q1,Jaipur,555,435,119,78.4,39.6,4.95
2024-01-25,Jan,Q1,Lucknow,169,148,20,88.1,15.5,4.15
2024-01-26,Jan,Q1,Mumbai,259,229,29,88.8,21.4,4.86
2024-01-26,Jan,Q1,Delhi,544,473,70,87.0,18.6,4.36
2024-01-26,Jan,Q1,Bangalore,541,519,21,96.1,12.2,4.53
2024-01-26,Jan,Q1,Hyderabad,351,310,40,88.6,29.3,4.84
2024-01-26,Jan,Q1,Chennai,423,381,41,90.1,21.6,4.41
2024-01-26,Jan,Q1,Pune,146,132,13,90.9,21.0,4.51
2024-01-26,Jan,Q1,Kolkata,500,465,34,93.0,25.4,4.91
2024-01-26,Jan,Q1,Ahmedabad,594,480,113,80.9,41.8,4.99
2024-01-26,Jan,Q1,Jaipur,194,176,17,91.2,27.1,4.56
2024-01-26,Jan,Q1,Lucknow,366,304,61,83.3,21.5,4.77
2024-01-27,Jan,Q1,Mumbai,385,302,82,78.7,13.2,4.38
2024-01-27,Jan,Q1,Delhi,595,518,76,87.2,9.8,3.83
2024-01-27,Jan,Q1,Bangalore,319,271,47,85.0,30.5,4.31
2024-01-27,Jan,Q1,Hyderabad,343,279,63,81.5,35.5,4.1
2024-01-27,Jan,Q1,Chennai,158,150,7,95.1,19.3,4.86
2024-01-27,Jan,Q1,Pune,501,480,20,96.0,14.6,4.88
2024-01-27,Jan,Q1,Kolkata,162,140,21,86.8,17.5,4.88
2024-01-27,Jan,Q1,Ahmedabad,175,150,24,86.2,15.4,4.37
2024-01-27,Jan,Q1,Jaipur,293,231,61,78.9,15.4,3.93
2024-01-27,Jan,Q1,Lucknow,264,251,12,95.4,18.2,4.72
2024-01-28,Jan,Q1,Mumbai,387,316,70,81.9,20.6,4.39
2024-01-28,Jan,Q1,Delhi,129,111,17,86.6,26.5,4.56
2024-01-28,Jan,Q1,Bangalore,355,341,13,96.3,18.4,4.02
2024-01-28,Jan,Q1,Hyderabad,543,506,36,93.3,35.6,4.5
2024-01-28,Jan,Q1,Chennai,570,536,33,94.1,11.2,4.96
2024-01-28,Jan,Q1,Pune,323,278,44,86.1,41.5,4.98
2024-01-28,Jan,Q1,Kolkata,426,379,46,89.2,33.9,4.13
2024-01-28,Jan,Q1,Ahmedabad,470,429,40,91.4,27.9,4.88
2024-01-28,Jan,Q1,Jaipur,433,405,27,93.7,18.4,4.87
2024-01-28,Jan,Q1,Lucknow,167,133,33,80.2,9.7,4.89
2024-01-29,Jan,Q1,Mumbai,270,235,34,87.3,10.1,4.23
2024-01-29,Jan,Q1,Delhi,305,292,12,95.9,15.1,4.04
2024-01-29,Jan,Q1,Bangalore,128,112,15,87.9,26.0,4.14
2024-01-29,Jan,Q1,Hyderabad,445,418,26,94.1,16.6,4.95
2024-01-29,Jan,Q1,Chennai,146,141,4,96.6,38.9,4.17
2024-01-29,Jan,Q1,Pune,136,111,24,81.9,35.7,4.24
2024-01-29,Jan,Q1,Kolkata,504,420,83,83.5,30.3,4.11
2024-01-29,Jan,Q1,Ahmedabad,526,482,43,91.7,28.5,4.76
2024-01-29,Jan,Q1,Jaipur,358,297,60,83.0,36.8,4.22
2024-01-29,Jan,Q1,Lucknow,575,525,49,91.4,13.9,3.82
2024-01-30,Jan,Q1,Mumbai,441,385,55,87.5,17.9,4.98
2024-01-30,Jan,Q1,Delhi,208,201,6,96.9,21.7,4.78
2024-01-30,Jan,Q1,Bangalore,150,128,21,85.7,40.4,4.63
2024-01-30,Jan,Q1,Hyderabad,278,257,20,92.8,37.8,4.25
2024-01-30,Jan,Q1,Chennai,311,266,44,85.6,30.4,4.73
2024-01-30,Jan,Q1,Pune,334,304,29,91.3,32.6,4.99
2024-01-30,Jan,Q1,Kolkata,372,328,43,88.4,37.4,4.9
2024-01-30,Jan,Q1,Ahmedabad,120,115,4,96.1,39.3,4.87
2024-01-30,Jan,Q1,Jaipur,277,217,59,78.4,35.6,4.45
2024-01-30,Jan,Q1,Lucknow,207,163,43,78.8,20.0,4.88
2024-01-31,Jan,Q1,Mumbai,263,209,53,79.8,31.2,4.3
2024-01-31,Jan,Q1,Delhi,330,319,10,96.8,38.5,4.6
2024-01-31,Jan,Q1,Bangalore,182,169,12,93.4,12.3,3.86
2024-01-31,Jan,Q1,Hyderabad,519,453,65,87.4,40.3,4.65
2024-01-31,Jan,Q1,Chennai,292,280,11,96.2,19.5,4.6
2024-01-31,Jan,Q1,Pune,454,395,58,87.2,10.8,3.83
2024-01-31,Jan,Q1,Kolkata,268,244,23,91.1,16.4,4.29
2024-01-31,Jan,Q1,Ahmedabad,257,235,21,91.8,18.9,4.01
2024-01-31,Jan,Q1,Jaipur,372,346,25,93.1,10.5,3.96
2024-01-31,Jan,Q1,Lucknow,184,170,13,92.9,17.8,4.18
2024-02-01,Feb,Q1,Mumbai,194,151,42,78.2,41.4,4.67
2024-02-01,Feb,Q1,Delhi,331,290,40,87.8,18.4,4.6
2024-02-01,Feb,Q1,Bangalore,148,127,20,86.0,11.1,3.86
2024-02-01,Feb,Q1,Hyderabad,503,428,74,85.2,13.3,4.27
2024-02-01,Feb,Q1,Chennai,103,91,11,88.9,41.1,4.27
2024-02-01,Feb,Q1,Pune,529,493,35,93.3,23.5,4.86
2024-02-01,Feb,Q1,Kolkata,497,414,82,83.5,20.2,3.94
2024-02-01,Feb,Q1,Ahmedabad,286,249,36,87.1,11.4,4.45
2024-02-01,Feb,Q1,Jaipur,581,556,24,95.8,32.2,4.6
2024-02-01,Feb,Q1,Lucknow,477,462,14,96.9,20.7,4.32
2024-02-02,Feb,Q1,Mumbai,139,120,18,86.4,22.7,4.48
2024-02-02,Feb,Q1,Delhi,542,436,105,80.5,30.8,4.75
2024-02-02,Feb,Q1,Bangalore,300,236,63,78.8,18.1,4.73
2024-02-02,Feb,Q1,Hyderabad,595,477,117,80.2,12.7,4.67
2024-02-02,Feb,Q1,Chennai,315,247,67,78.7,23.8,3.85
2024-02-02,Feb,Q1,Pune,252,202,49,80.5,40.3,4.72
2024-02-02,Feb,Q1,Kolkata,344,303,40,88.1,35.7,4.76
2024-02-02,Feb,Q1,Ahmedabad,419,360,58,86.0,21.9,3.92
2024-02-02,Feb,Q1,Jaipur,102,85,16,83.9,26.4,4.82
2024-02-02,Feb,Q1,Lucknow,186,150,35,81.0,19.7,4.32
2024-02-03,Feb,Q1,Mumbai,268,210,57,78.6,19.6,4.27
2024-02-03,Feb,Q1,Delhi,463,409,53,88.4,15.9,4.3
2024-02-03,Feb,Q1,Bangalore,528,510,17,96.6,35.1,5.0
2024-02-03,Feb,Q1,Hyderabad,477,433,43,90.9,34.3,4.82
2024-02-03,Feb,Q1,Chennai,513,429,83,83.7,30.4,4.74
2024-02-03,Feb,Q1,Pune,561,467,93,83.4,11.0,4.18
2024-02-03,Feb,Q1,Kolkata,579,452,126,78.1,22.3,4.72
2024-02-03,Feb,Q1,Ahmedabad,439,345,93,78.7,14.9,4.59
2024-02-03,Feb,Q1,Jaipur,576,459,116,79.8,23.7,4.37
2024-02-03,Feb,Q1,Lucknow,211,173,37,82.2,26.3,3.82
2024-02-04,Feb,Q1,Mumbai,314,282,31,90.0,17.1,3.98
2024-02-04,Feb,Q1,Delhi,475,372,102,78.4,33.7,3.84
2024-02-04,Feb,Q1,Bangalore,198,160,37,81.0,22.6,4.88
2024-02-04,Feb,Q1,Hyderabad,490,382,107,78.0,32.3,4.7
2024-02-04,Feb,Q1,Chennai,545,524,20,96.3,36.0,3.99
2024-02-04,Feb,Q1,Pune,438,391,46,89.4,19.4,4.76
2024-02-04,Feb,Q1,Kolkata,299,264,34,88.4,25.2,4.48
2024-02-04,Feb,Q1,Ahmedabad,506,406,99,80.3,20.7,4.19
2024-02-04,Feb,Q1,Jaipur,374,329,44,88.2,15.5,4.21
2024-02-04,Feb,Q1,Lucknow,425,347,77,81.8,33.5,3.97
2024-02-05,Feb,Q1,Mumbai,211,185,25,88.0,9.0,4.92
2024-02-05,Feb,Q1,Delhi,139,121,17,87.7,35.2,4.22
2024-02-05,Feb,Q1,Bangalore,480,456,23,95.1,32.1,4.48
2024-02-05,Feb,Q1,Hyderabad,225,180,44,80.4,24.1,3.88
2024-02-05,Feb,Q1,Chennai,317,252,64,79.7,20.7,4.81
