Customer_ID,City,Age_Group,Gender,Segment,Total_Orders,Lifetime_Value,Avg_Order_Value,Preferred_Category,NPS_Score
CUST00027,Mumbai,35-44,Female,Regular,15,8671.38,578.09,Cleaning,9
CUST00028,Chennai,25-34,Male,Regular,18,6471.19,359.51,Fruits & Veg,2
CUST00029,Kolkata,25-34,Male,New,3,992.87,330.96,Frozen Food,5
CUST00030,Pune,25-34,Female,Regular,14,6096.19,435.44,Snacks & Munchies,8
CUST00031,Bangalore,35-44,Male,Regular,7,3191.06,455.87,Dairy & Breakfast,5
CUST00032,Bangalore,25-34,Male,Regular,16,4496.22,281.01,Bakery,8
CUST00033,Pune,18-24,Female,Regular,13,2947.72,226.75,Fruits & Veg,1
CUST00034,Delhi,45-54,Male,New,1,634.49,634.49,Snacks & Munchies,9
CUST00035,Bangalore,25-34,Female,New,3,2265.09,755.03,Beverages,10
CUST00036,Delhi,55+,Male,Regular,6,3822.25,637.04,Baby Care,5
CUST00037,Delhi,35-44,Male,Regular,10,5195.64,519.56,Fruits & Veg,3
CUST00038,Delhi,25-34,Female,New,3,2260.72,753.57,Snacks & Munchies,3
CUST00039,Mumbai,55+,Female,Churned,2,1045.01,522.5,Baby Care,4
CUST00040,Delhi,55+,Male,Regular,10,7947.53,794.75,Meat & Seafood,5
CUST00041,Chennai,35-44,Female,Regular,11,6615.28,601.39,Cleaning,1
CUST00042,Chennai,45-54,Female,New,1,773.54,773.54,Personal Care,4
CUST00043,Delhi,25-34,Male,Regular,4,804.59,201.15,Bakery,2
CUST00044,Ahmedabad,18-24,Female,Regular,15,10628.93,708.6,Meat & Seafood,5
CUST00045,Mumbai,35-44,Male,Regular,13,8357.61,642.89,Cleaning,2
CUST00046,Mumbai,55+,Female,New,1,202.83,202.83,Beverages,8
CUST00047,Lucknow,18-24,Male,Regular,16,8438.59,527.41,Fruits & Veg,8
CUST00048,Mumbai,25-34,Male,New,2,558.72,279.36,Fruits & Veg,1
CUST00049,Delhi,25-34,Female,Regular,13,6840.63,526.2,Baby Care,1
CUST00050,Delhi,45-54,Male,Regular,16,4959.84,309.99,Fruits & Veg,7
CUST00051,Hyderabad,35-44,Female,Churned,1,521.73,521.73,Personal Care,7
CUST00052,Mumbai,35-44,Female,Regular,16,6724.94,420.31,Cleaning,10
CUST00053,Delhi,45-54,Female,Churned,4,2852.43,713.11,Snacks & Munchies,10
CUST00054,Bangalore,25-34,Female,Premium,41,29798.95,726.8,Frozen Food,8
CUST00055,Mumbai,25-34,Male,New,1,590.98,590.98,Dairy & Breakfast,2
CUST00056,Mumbai,25-34,Female,Premium,26,12538.05,482.23,Beverages,10
CUST00057,Delhi,18-24,Female,Premium,58,13409.78,231.2,Baby Care,3
CUST00058,Pune,45-54,Female,New,3,1724.32,574.77,Personal Care,7
CUST00059,Mumbai,25-34,Female,Regular,20,17415.78,870.79,Baby Care,8
CUST00060,Pune,45-54,Female,Premium,22,12664.08,575.64,Snacks & Munchies,8
CUST00061,Delhi,35-44,Female,Regular,9,5234.17,581.57,Meat & Seafood,8
CUST00062,Mumbai,55+,Female,Regular,5,1465.96,293.19,Bakery,5
CUST00063,Chennai,35-44,Female,Regular,19,10892.2,573.27,Fruits & Veg,10
CUST00064,Kolkata,25-34,Male,New,3,1541.92,513.97,Fruits & Veg,4
CUST00065,Bangalore,18-24,Male,Churned,2,738.64,369.32,Baby Care,5
CUST00066,Mumbai,25-34,Male,New,2,1314.82,657.41,Bakery,10
CUST00067,Pune,35-44,Female,Regular,13,11082.25,852.48,Snacks & Munchies,5
CUST00068,Mumbai,25-34,Male,Regular,12,9167.98,764.0,Bakery,9
CUST00069,Delhi,25-34,Female,Churned,4,1754.48,438.62,Cleaning,1
CUST00070,Ahmedabad,35-44,Female,Premium,26,13614.82,523.65,Beverages,6
CUST00071,Chennai,45-54,Female,Regular,19,6351.74,334.3,Meat & Seafood,1
CUST00072,Hyderabad,18-24,Female,New,3,1701.44,567.15,Dairy & Breakfast,10
CUST00073,Pune,35-44,Male,Churned,2,747.61,373.81,Cleaning,5
CUST00074,Delhi,18-24,Male,Churned,1,642.12,642.12,Frozen Food,1
CUST00075,Ahmedabad,25-34,Male,Regular,9,6255.79,695.09,Bakery,10
CUST00076,Delhi,35-44,Male,New,2,1388.8,694.4,Snacks & Munchies,8
CUST00077,Hyderabad,55+,Female,Regular,10,5482.02,548.2,Bakery,5
CUST00078,Chennai,35-44,Female,New,1,721.93,721.93,Bakery,5
CUST00079,Kolkata,25-34,Female,New,2,1204.48,602.24,Dairy & Breakfast,10
CUST00080,Mumbai,45-54,Male,New,1,665.97,665.97,Dairy & Breakfast,8
CUST00081,Bangalore,25-34,Male,Regular,18,13533.29,751.85,Fruits & Veg,2
CUST00082,Bangalore,25-34,Male,Regular,13,9073.42,697.96,Baby Care,6
CUST00083,Mumbai,35-44,Female,Regular,18,11013.88,611.88,Meat & Seafood,10
CUST00084,Bangalore,45-54,Female,Churned,1,751.29,751.29,Snacks & Munchies,8
CUST00085,Mumbai,45-54,Female,New,3,861.86,287.29,Snacks & Munchies,10
CUST00086,Chennai,18-24,Male,Regular,11,7827.81,711.62,Frozen Food,10
CUST00087,Delhi,55+,Female,New,2,1193.81,596.9,Meat & Seafood,2
CUST00088,Delhi,35-44,Male,Regular,14,5708.85,407.78,Personal Care,8
CUST00089,Kolkata,25-34,Female,Premium,69,33784.31,489.63,Beverages,7
CUST00090,Mumbai,45-54,Female,New,2,1319.67,659.84,Snacks & Munchies,6
CUST00091,Kolkata,55+,Female,Regular,8,4953.18,619.15,Bakery,10
CUST00092,Mumbai,45-54,Male,Regular,20,14685.63,734.28,Personal Care,3
CUST00093,Ahmedabad,45-54,Female,Premium,60,34080.85,568.01,Fruits & Veg,8
CUST00094,Delhi,45-54,Male,Premium,54,30843.76,571.18,Meat & Seafood,5
CUST00095,Delhi,45-54,Female,Premium,61,47864.73,784.67,Personal Care,9
CUST00096,Pune,45-54,Male,New,1,379.45,379.45,Snacks & Munchies,6
CUST00097,Delhi,25-34,Male,New,3,1513.16,504.39,Fruits & Veg,3
CUST00098,Lucknow,25-34,Female,New,3,1959.98,653.33,Personal Care,10
CUST00099,Mumbai,18-24,Male,Regular,19,15977.94,840.94,Meat & Seafood,6
CUST00100,Delhi,35-44,Male,New,2,1489.36,744.68,Meat & Seafood,6
CUST00101,Pune,35-44,Female,New,1,606.61,606.61,Personal Care,3
CUST00102,Ahmedabad,18-24,Male,Regular,9,4540.25,504.47,Baby Care,10
CUST00103,Hyderabad,35-44,Female,Regular,19,9108.17,479.38,Bakery,9
CUST00104,Hyderabad,45-54,Female,Premium,65,37114.39,570.99,Personal Care,1
CUST00105,Mumbai,45-54,Female,Regular,19,10441.12,549.53,Baby Care,2
CUST00106,Pune,45-54,Male,Premium,55,29569.76,537.63,Fruits & Veg,8
CUST00107,Hyderabad,45-54,Female,Regular,12,6352.93,529.41,Beverages,4
CUST00108,Mumbai,25-34,Male,New,3,2423.06,807.69,Cleaning,1
CUST00109,Bangalore,25-34,Male,Churned,4,1441.82,360.45,Snacks & Munchies,8
CUST00110,Lucknow,35-44,Female,New,2,517.95,258.98,Beverages,6
CUST00111,Pune,35-44,Male,Churned,3,2297.12,765.71,Baby Care,8
CUST00112,Mumbai,55+,Female,Regular,16,13307.08,831.69,Bakery,7
CUST00113,Mumbai,25-34,Female,Premium,29,23456.45,808.84,Snacks & Munchies,6
CUST00114,Pune,25-34,Female,Churned,3,860.31,286.77,Frozen Food,9
CUST00115,Delhi,25-34,Male,Premium,51,14390.44,282.17,Frozen Food,6
CUST00116,Mumbai,25-34,Female,Regular,14,8237.9,588.42,Snacks & Munchies,10
CUST00117,Lucknow,25-34,Male,Premium,73,51646.78,707.49,Dairy & Breakfast,2
CUST00118,Chennai,25-34,Male,Premium,65,35428.29,545.05,Meat & Seafood,8
CUST00119,Delhi,18-24,Male,Regular,15,3299.79,219.99,Cleaning,5
CUST00120,Mumbai,45-54,Male,New,3,675.71,225.24,Baby Care,7
CUST00121,Lucknow,35-44,Male,New,1,524.89,524.89,Meat & Seafood,3
CUST00122,Mumbai,18-24,Female,New,2,598.91,299.45,Meat & Seafood,8
CUST00123,Ahmedabad,25-34,Female,Regular,6,5307.21,884.53,Frozen Food,3
CUST00124,Bangalore,25-34,Male,Regular,11,9067.41,824.31,Cleaning,3
CUST00125,Mumbai,18-24,Female,Regular,5,3873.96,774.79,Baby Care,8
CUST00126,Hyderabad,45-54,Male,New,3,1162.14,387.38,Beverages,5
CUST00127,Delhi,25-34,Male,New,2,1427.82,713.91,Dairy & Breakfast,3
CUST00128,Ahmedabad,25-34,Male,Regular,6,1529.31,254.88,Beverages,3
CUST00129,Chennai,35-44,Female,New,2,474.77,237.38,Bakery,10
CUST00130,Mumbai,35-44,Female,Regular,7,2380.56,340.08,Frozen Food,2
CUST00131,Pune,35-44,Male,New,2,851.48,425.74,Meat & Seafood,10
CUST00132,Hyderabad,35-44,Male,New,3,1033.51,344.5,Fruits & Veg,1
CUST00133,Mumbai,35-44,Male,New,3,861.19,287.06,Meat & Seafood,6
CUST00134,Hyderabad,45-54,Male,Regular,16,3571.5,223.22,Dairy & Breakfast,6
CUST00135,Jaipur,25-34,Male,Regular,7,3882.57,554.65,Snacks & Munchies,1
CUST00136,Delhi,35-44,Male,Churned,2,1378.05,689.02,Dairy & Breakfast,2
CUST00137,Mumbai,35-44,Male,New,1,666.46,666.46,Snacks & Munchies,6
CUST00138,Delhi,25-34,Male,New,3,1776.09,592.03,Beverages,7
CUST00139,Pune,25-34,Male,Churned,4,2321.4,580.35,Frozen Food,5
CUST00140,Delhi,18-24,Female,Regular,17,11028.63,648.74,Frozen Food,2
CUST00141,Delhi,45-54,Male,New,1,875.86,875.86,Baby Care,9
CUST00142,Mumbai,18-24,Male,New,3,1720.75,573.58,Dairy & Breakfast,1
CUST00143,Kolkata,18-24,Male,Churned,1,249.31,249.31,Snacks & Munchies,8
CUST00144,Lucknow,35-44,Male,New,1,287.97,287.97,Bakery,9
CUST00145,Ahmedabad,18-24,Female,Churned,3,1248.77,416.26,Meat & Seafood,10
CUST00146,Mumbai,25-34,Male,Regular,11,9790.96,890.09,Cleaning,9
CUST00147,Mumbai,35-44,Male,New,1,534.8,534.8,Beverages,3
CUST00148,Hyderabad,25-34,Male,Churned,5,3455.82,691.16,Frozen Food,3
CUST00149,Mumbai,35-44,Female,New,1,724.62,724.62,Baby Care,3
CUST00150,Chennai,25-34,Male,Churned,1,798.04,798.04,Cleaning,4
CUST00151,Pune,35-44,Female,Regular,10,7045.49,704.55,Beverages,2
CUST00152,Mumbai,55+,Male,Regular,6,3957.16,659.53,Personal Care,9
CUST00153,Delhi,18-24,Female,Regular,19,8956.68,471.4,Frozen Food,1
CUST00154,Delhi,25-34,Female,Premium,44,37857.63,860.4,Bakery,2
CUST00155,Mumbai,25-34,Female,Churned,5,4250.44,850.09,Snacks & Munchies,9
CUST00156,Hyderabad,25-34,Male,Premium,70,31552.39,450.75,Personal Care,1
CUST00157,Lucknow,18-24,Male,Churned,3,2157.52,719.17,Snacks & Munchies,9
CUST00158,Lucknow,25-34,Female,Churned,4,2614.98,653.75,Frozen Food,5
CUST00159,Kolkata,35-44,Female,Churned,4,1299.64,324.91,Meat & Seafood,10
CUST00160,Chennai,45-54,Female,Regular,13,9130.17,702.32,Fruits & Veg,9
CUST00161,Kolkata,35-44,Male,Regular,18,15645.82,869.21,Dairy & Breakfast,10
CUST00162,Jaipur,25-34,Female,Regular,12,3815.85,317.99,Snacks & Munchies,2
CUST00163,Lucknow,25-34,Male,Premium,26,8594.89,330.57,Cleaning,2
CUST00164,Kolkata,25-34,Male,New,1,854.45,854.45,Cleaning,8
CUST00165,Mumbai,25-34,Male,Regular,6,5060.47,843.41,Beverages,6
CUST00166,Ahmedabad,35-44,Female,Premium,38,8511.99,224.0,Frozen Food,6
CUST00167,Delhi,18-24,Male,Churned,1,674.51,674.51,Meat & Seafood,1
CUST00168,Bangalore,25-34,Female,New,1,770.6,770.6,Snacks & Munchies,1
CUST00169,Mumbai,18-24,Female,New,3,1931.18,643.73,Bakery,9
CUST00170,Delhi,35-44,Female,New,1,521.3,521.3,Frozen Food,5
CUST00171,Delhi,18-24,Male,Regular,11,6275.01,570.46,Baby Care,7
CUST00172,Kolkata,35-44,Female,Premium,70,54356.51,776.52,Frozen Food,3
CUST00173,Delhi,35-44,Female,Regular,7,4310.45,615.78,Beverages,6
CUST00174,Bangalore,45-54,Female,Premium,45,31413.22,698.07,Bakery,2
CUST00175,Kolkata,35-44,Male,New,2,518.78,259.39,Beverages,3
CUST00176,Pune,35-44,Male,Regular,15,7636.96,509.13,Frozen Food,4
CUST00177,Chennai,25-34,Male,New,3,1061.85,353.95,Frozen Food,3
CUST00178,Chennai,55+,Male,Regular,17,5641.3,331.84,Bakery,10
CUST00179,Delhi,45-54,Male,New,3,1638.04,546.01,Snacks & Munchies,8
CUST00180,Kolkata,25-34,Male,Regular,16,7107.26,444.2,Cleaning,1
CUST00181,Mumbai,25-34,Male,Regular,12,10367.58,863.97,Baby Care,5
CUST00182,Jaipur,25-34,Male,Regular,4,912.22,228.06,Frozen Food,10
CUST00183,Mumbai,25-34,Female,New,3,1342.92,447.64,Meat & Seafood,2
CUST00184,Lucknow,25-34,Male,New,1,489.51,489.51,Cleaning,9
CUST00185,Lucknow,25-34,Male,Regular,8,5511.61,688.95,Fruits & Veg,3
CUST00186,Delhi,35-44,Male,Premium,51,39551.77,775.52,Meat & Seafood,1
CUST00187,Jaipur,35-44,Male,Regular,16,8848.38,553.02,Snacks & Munchies,4
CUST00188,Hyderabad,35-44,Male,New,3,648.17,216.06,Dairy & Breakfast,1
CUST00189,Mumbai,25-34,Male,Premium,48,21687.76,451.83,Snacks & Munchies,6
CUST00190,Mumbai,25-34,Female,Regular,12,2777.09,231.42,Snacks & Munchies,7
CUST00191,Lucknow,18-24,Male,Regular,17,11955.09,703.24,Fruits & Veg,7
CUST00192,Kolkata,35-44,Female,Premium,69,49234.97,713.55,Fruits & Veg,5
CUST00193,Mumbai,25-34,Female,Premium,21,8800.82,419.09,Beverages,9
CUST00194,Delhi,45-54,Male,Premium,25,22147.46,885.9,Personal Care,3
CUST00195,Pune,25-34,Male,Premium,39,20822.53,533.91,Beverages,2
CUST00196,Delhi,25-34,Female,Regular,19,5511.72,290.09,Bakery,7
CUST00197,Delhi,25-34,Male,New,1,837.18,837.18,Meat & Seafood,2
CUST00198,Chennai,35-44,Female,Regular,11,7546.88,686.08,Snacks & Munchies,5
CUST00199,Chennai,35-44,Female,Churned,3,1965.55,655.18,Frozen Food,10
CUST00200,Bangalore,18-24,Female,New,1,506.5,506.5,Personal Care,7
CUST00201,Hyderabad,55+,Female,New,3,2294.9,764.97,Frozen Food,10
CUST00202,Mumbai,35-44,Male,Regular,10,5993.98,599.4,Personal Care,2
CUST00203,Delhi,18-24,Female,New,2,764.14,382.07,Fruits & Veg,5
CUST00204,Hyderabad,25-34,Male,New,3,2603.85,867.95,Personal Care,9
CUST00205,Bangalore,18-24,Male,Regular,7,5210.96,744.42,Cleaning,1
CUST00206,Delhi,25-34,Female,Regular,13,10016.36,770.49,Personal Care,2
CUST00207,Pune,55+,Male,New,2,476.86,238.43,Dairy & Breakfast,4
CUST00208,Bangalore,25-34,Female,Premium,36,21264.27,590.67,Bakery,4
CUST00209,Lucknow,25-34,Female,Premium,46,31130.87,676.76,Beverages,5
CUST00210,Chennai,45-54,Male,New,1,436.51,436.51,Beverages,10
CUST00211,Pune,25-34,Female,Regular,9,2796.04,310.67,Bakery,8
CUST00212,Chennai,55+,Male,Premium,54,20553.43,380.62,Cleaning,2
CUST00213,Pune,18-24,Female,New,2,1143.97,571.99,Snacks & Munchies,2
CUST00214,Pune,55+,Female,New,1,827.01,827.01,Bakery,6
CUST00215,Chennai,45-54,Male,New,3,1066.02,355.34,Bakery,9
CUST00216,Mumbai,55+,Female,New,2,544.94,272.47,Fruits & Veg,7
CUST00217,Jaipur,25-34,Male,Premium,63,53922.4,855.91,Cleaning,2
CUST00218,Bangalore,25-34,Female,Regular,14,9521.96,680.14,Fruits & Veg,5
CUST00219,Mumbai,35-44,Male,Churned,1,835.49,835.49,Cleaning,6
CUST00220,Bangalore,18-24,Male,Regular,8,6025.05,753.13,Snacks & Munchies,8
CUST00221,Chennai,25-34,Female,New,2,1386.44,693.22,Beverages,8
CUST00222,Delhi,35-44,Male,New,3,1959.48,653.16,Bakery,5
CUST00223,Delhi,25-34,Male,Premium,26,12303.61,473.22,Dairy & Breakfast,2
CUST00224,Delhi,25-34,Male,Regular,5,3403.91,680.78,Beverages,2
CUST00225,Mumbai,35-44,Male,Regular,19,11880.0,625.26,Fruits & Veg,10
CUST00226,Bangalore,18-24,Male,Regular,8,5249.4,656.17,Beverages,4
CUST00227,Hyderabad,18-24,Female,Churned,4,2964.54,741.13,Snacks & Munchies,5
CUST00228,Mumbai,25-34,Male,Regular,7,2353.18,336.17,Snacks & Munchies,3
CUST00229,Delhi,18-24,Male,New,2,1393.99,697.0,Baby Care,4
CUST00230,Mumbai,25-34,Male,Regular,20,12506.36,625.32,Meat & Seafood,1
CUST00231,Ahmedabad,18-24,Female,New,3,1266.89,422.3,Baby Care,3
CUST00232,Hyderabad,45-54,Female,Regular,5,2681.21,536.24,Baby Care,2
CUST00233,Hyderabad,25-34,Female,Regular,8,2529.16,316.14,Meat & Seafood,6
CUST00234,Mumbai,25-34,Female,Churned,1,254.51,254.51,Frozen Food,10
CUST00235,Delhi,25-34,Male,Regular,9,5018.84,557.65,Beverages,2
CUST00236,Bangalore,35-44,Female,New,2,1520.89,760.45,Snacks & Munchies,6
CUST00237,Bangalore,45-54,Female,New,3,1252.84,417.61,Dairy & Breakfast,8
CUST00238,Pune,25-34,Female,New,3,2541.09,847.03,Meat & Seafood,4
CUST00239,Pune,18-24,Female,Regular,10,8351.34,835.13,Baby Care,8
CUST00240,Mumbai,25-34,Female,Premium,77,19959.53,259.21,Bakery,3
CUST00241,Mumbai,25-34,Female,New,2,1697.32,848.66,Meat & Seafood,1
CUST00242,Kolkata,25-34,Female,New,1,248.15,248.15,Baby Care,1
CUST00243,Kolkata,25-34,Male,Regular,6,1519.66,253.28,Baby Care,7
CUST00244,Bangalore,25-34,Female,Churned,5,3192.99,638.6,Baby Care,4
CUST00245,Bangalore,55+,Male,Regular,5,3385.24,677.05,Fruits & Veg,1
CUST00246,Ahmedabad,25-34,Male,Premium,49,41740.1,851.84,Dairy & Breakfast,8
CUST00247,Bangalore,35-44,Female,New,1,816.83,816.83,Bakery,2
CUST00248,Ahmedabad,35-44,Female,Regular,19,15461.15,813.74,Dairy & Breakfast,10
CUST00249,Kolkata,25-34,Male,Regular,20,15969.32,798.47,Personal Care,9
CUST00250,Chennai,45-54,Female,New,1,706.94,706.94,Cleaning,6
CUST00251,Mumbai,18-24,Male,Premium,65,32453.82,499.29,Baby Care,8
CUST00252,Kolkata,25-34,Female,Churned,3,1526.5,508.83,Meat & Seafood,2
CUST00253,Delhi,35-44,Female,New,2,528.45,264.23,Personal Care,1
CUST00254,Bangalore,25-34,Female,Churned,3,2521.15,840.38,Frozen Food,10
CUST00255,Chennai,25-34,Male,New,1,852.41,852.41,Snacks & Munchies,10
CUST00256,Delhi,35-44,Male,New,1,759.06,759.06,Dairy & Breakfast,1
CUST00257,Mumbai,18-24,Male,Regular,13,5363.94,412.61,Dairy & Breakfast,9
CUST00258,Kolkata,18-24,Male,Churned,5,2330.9,466.18,Bakery,6
CUST00259,Mumbai,18-24,Male,Regular,10,3672.39,367.24,Cleaning,10
CUST00260,Mumbai,18-24,Male,Premium,70,43932.11,627.6,Beverages,1
CUST00261,Mumbai,45-54,Female,New,2,834.98,417.49,Frozen Food,5
CUST00262,Mumbai,18-24,Female,Regular,14,10010.44,715.03,Fruits & Veg,7
CUST00263,Bangalore,35-44,Male,Premium,68,22539.78,331.47,Bakery,2
CUST00264,Chennai,25-34,Male,Churned,1,679.99,679.99,Fruits & Veg,6
CUST00265,Ahmedabad,35-44,Male,New,2,1079.75,539.88,Beverages,3
CUST00266,Pune,45-54,Female,Premium,43,24033.37,558.92,Frozen Food,1
CUST00267,Mumbai,55+,Female,Premium,73,38778.93,531.22,Bakery,6
CUST00268,Chennai,25-34,Male,New,2,510.24,255.12,Meat & Seafood,9
CUST00269,Ahmedabad,25-34,Male,New,1,607.35,607.35,Personal Care,9
CUST00270,Lucknow,55+,Female,New,1,203.38,203.38,Cleaning,9
CUST00271,Kolkata,25-34,Male,Regular,19,11169.66,587.88,Fruits & Veg,5
CUST00272,Bangalore,18-24,Male,Churned,1,520.04,520.04,Cleaning,4
CUST00273,Jaipur,35-44,Female,Regular,7,3713.57,530.51,Baby Care,4
CUST00274,Chennai,35-44,Male,Regular,20,6599.21,329.96,Snacks & Munchies,4
CUST00275,Delhi,25-34,Female,New,3,1714.69,571.56,Baby Care,7
CUST00276,Bangalore,55+,Female,Regular,10,7707.27,770.73,Dairy & Breakfast,10
CUST00277,Hyderabad,25-34,Male,Regular,17,7691.61,452.45,Fruits & Veg,7
CUST00278,Delhi,55+,Female,New,3,2246.98,748.99,Cleaning,1
CUST00279,Ahmedabad,18-24,Male,Regular,19,14853.12,781.74,Baby Care,10
CUST00280,Mumbai,18-24,Male,Regular,15,12335.47,822.36,Beverages,5
CUST00281,Pune,45-54,Male,Regular,13,5140.91,395.45,Baby Care,9
CUST00282,Delhi,25-34,Female,Premium,79,53856.94,681.73,Beverages,5
CUST00283,Bangalore,25-34,Female,Regular,18,12874.09,715.23,Beverages,8
CUST00284,Delhi,25-34,Female,Premium,35,7654.96,218.71,Dairy & Breakfast,9
CUST00285,Kolkata,35-44,Female,New,1,326.88,326.88,Baby Care,9
CUST00286,Chennai,45-54,Male,Regular,6,3133.79,522.3,Frozen Food,2
CUST00287,Delhi,55+,Male,Premium,73,24313.45,333.06,Snacks & Munchies,5
CUST00288,Kolkata,35-44,Male,New,1,426.8,426.8,Personal Care,8
CUST00289,Pune,18-24,Male,New,3,1312.17,437.39,Frozen Food,10
CUST00290,Hyderabad,18-24,Male,Regular,10,7337.28,733.73,Cleaning,7
CUST00291,Hyderabad,25-34,Male,Regular,20,14375.07,718.75,Bakery,9
CUST00292,Mumbai,35-44,Female,Premium,61,20747.23,340.12,Bakery,6
CUST00293,Pune,35-44,Female,Churned,1,847.02,847.02,Baby Care,7
CUST00294,Mumbai,35-44,Male,New,2,808.54,404.27,Snacks & Munchies,2
CUST00295,Bangalore,25-34,Female,New,1,879.7,879.7,Frozen Food,1
CUST00296,Bangalore,25-34,Female,New,1,691.73,691.73,Frozen Food,9
CUST00297,Delhi,55+,Male,New,2,1682.09,841.04,Cleaning,7
CUST00298,Hyderabad,18-24,Female,Premium,80,26441.56,330.52,Cleaning,3
CUST00299,Delhi,45-54,Male,New,3,643.73,214.58,Dairy & Breakfast,6
CUST00300,Hyderabad,25-34,Female,Premium,29,21789.73,751.37,Fruits & Veg,7
CUST00301,Hyderabad,55+,Female,Regular,6,2525.91,420.98,Cleaning,8
CUST00302,Ahmedabad,55+,Male,Regular,12,10296.07,858.01,Meat & Seafood,6
CUST00303,Mumbai,45-54,Female,New,3,1820.96,606.99,Cleaning,5
CUST00304,Chennai,18-24,Male,New,1,442.5,442.5,Snacks & Munchies,7
CUST00305,Mumbai,45-54,Male,Premium,49,35896.58,732.58,Fruits & Veg,6
CUST00306,Hyderabad,45-54,Female,Regular,17,9441.82,555.4,Dairy & Breakfast,1
CUST00307,Delhi,55+,Female,New,3,829.11,276.37,Cleaning,9
CUST00308,Chennai,25-34,Male,Premium,74,35294.61,476.95,Baby Care,8
CUST00309,Kolkata,55+,Female,Regular,17,7630.74,448.87,Snacks & Munchies,2
CUST00310,Chennai,25-34,Female,Regular,15,3417.92,227.86,Bakery,1
CUST00311,Mumbai,35-44,Male,Premium,25,13504.18,540.17,Frozen Food,1
CUST00312,Delhi,18-24,Male,Premium,24,18049.75,752.07,Cleaning,9
CUST00313,Delhi,45-54,Female,New,1,261.29,261.29,Personal Care,7
CUST00314,Mumbai,55+,Female,Regular,15,6594.75,439.65,Beverages,5
CUST00315,Bangalore,35-44,Male,Regular,5,1436.14,287.23,Personal Care,9
CUST00316,Hyderabad,25-34,Female,Premium,28,25161.85,898.64,Cleaning,4
CUST00317,Bangalore,18-24,Male,Regular,14,9943.51,710.25,Cleaning,9
CUST00318,Delhi,25-34,Male,Churned,5,2158.48,431.7,Beverages,1
CUST00319,Pune,35-44,Male,Regular,17,12348.36,726.37,Meat & Seafood,10
CUST00320,Kolkata,25-34,Male,Regular,13,9416.5,724.35,Snacks & Munchies,9
CUST00321,Kolkata,35-44,Female,New,3,2201.13,733.71,Meat & Seafood,9
CUST00322,Mumbai,45-54,Male,Regular,12,2977.98,248.16,Fruits & Veg,10
CUST00323,Chennai,25-34,Male,Churned,3,657.65,219.22,Fruits & Veg,3
CUST00324,Mumbai,55+,Female,New,3,2439.98,813.33,Cleaning,8
CUST00325,Jaipur,25-34,Male,Regular,17,13329.46,784.09,Frozen Food,1
CUST00326,Bangalore,18-24,Male,Premium,41,13213.83,322.29,Frozen Food,6
CUST00327,Mumbai,55+,Male,Regular,14,11714.25,836.73,Bakery,8
CUST00328,Delhi,18-24,Male,New,2,1424.05,712.02,Beverages,1
CUST00329,Lucknow,55+,Male,Regular,5,3710.42,742.08,Personal Care,1
